;;;;;;;;;
;;;;;;;;;
1994;2.014,00;7.909,30;9.552,50;776;495,7;321,1;0,6;21.069,20;1.589
1995;1.890,70;7.949,20;9.874,90;821,6;517,4;339,6;0,6;21.394,10;1.604
1996;1.819,90;8.192,40;10.403,10;889,1;554,4;378;0,7;22.237,50;1.619
1997;1.697,30;8.329,30;10.844,50;966,8;580,1;413;0,7;22.831,70;1.636
1998;1.580,80;8.354,10;11.253,40;1.048,10;607,8;448,3;0,7;23.293,30;1.653
1999;1.537,30;8.409,90;11.751,80;1.142,70;642,8;489,7;0,7;23.974,90;1.669
2000;1.516,40;8.420,70;12.075,80;1.208,30;664,7;518,7;0,7;24.405,50;1.679
2001;1.472,50;8.559,30;12.510,00;1.326,20;701;556;0,8;25.125,90;1.689
2002;1.424,20;8.633,20;12.940,40;1.454,40;739,5;589,4;0,8;25.781,90;1.700
2003;1.352,40;8.651,30;13.224,00;1.578,10;799,4;634,4;0,8;26.240,40;1.713
2004;1.320,40;8.784,70;13.651,70;1.702,50;880,9;687;0,9;27.028,10;1.724
2005;1.275,70;8.792,70;13.976,00;1.793,60;960,2;721,2;1,1;27.520,40;1.735
2006;1.246,10;8.703,50;14.014,20;1.863,10;1.040,70;740,3;1,3;27.609,20;1.743
2007;1.235,10;8.742,40;14.199,60;1.938,70;1.117,70;765,1;1,7;28.000,30;1.750
2008;1.238,40;8.807,70;14.248,70;1.942,40;1.159,60;762,2;1,8;28.160,70;1.750
2009;1.252,40;8.882,40;14.199,90;1.953,10;1.198,80;757,9;1,9;28.246,50;1.750
2010;1.268,10;9.025,80;14.209,30;1.941,30;1.231,40;743;2;28.420,90;1.746
2011;1.280,40;9.093,60;14.210,30;1.919,10;1.242,60;718,2;3,1;28.467,30;1.740
2012;1.342,90;9.204,30;14.284,90;1.936,40;1.248,40;701;4,6;28.722,50;1.735
2013;1.495,50;9.309,50;14.406,60;1.971,10;1.262,30;689,1;6,8;29.140,90;1.729
2014;1.669,00;9.463,60;14.473,40;2.014,70;1.291,60;682,4;16,7;29.611,50;1.724
2015;1.866,70;9.742,80;14.526,00;2.071,40;1.338,80;679,5;25,1;30.250,30;1.719
2016;2.094,10;10.033,40;14.538,90;2.089,80;1.386,80;673,4;34;30.850,40;1.714
2017;2.324,80;10.270,60;14.402,10;2.073,90;1.421,20;661,6;45,9;31.200,20;1.709
;;;;;;;;;
1994;9,6;37,5;45,3;3,7;2,4;1,5;-;100;
1995;8,8;37,2;46,2;3,8;2,4;1,6;-;100;
1996;8,2;36,8;46,8;4;2,5;1,7;-;100;
1997;7,4;36,5;47,5;4,2;2,5;1,8;-;100;
1998;6,8;35,9;48,3;4,5;2,6;1,9;-;100;
1999;6,4;35,1;49;4,8;2,7;2;-;100;
2000;6,2;34,5;49,5;5;2,7;2,1;-;100;
2001;5,9;34,1;49,8;5,3;2,8;2,2;-;100;
2002;5,5;33,5;50,2;5,6;2,9;2,3;-;100;
2003;5,2;33;50,4;6;3;2,4;-;100;
2004;4,9;32,5;50,5;6,3;3,3;2,5;-;100;
2005;4,6;31,9;50,8;6,5;3,5;2,6;-;100;
2006;4,5;31,5;50,8;6,7;3,8;2,7;-;100;
2007;4,4;31,2;50,7;6,9;4;2,7;-;100;
2008;4,4;31,3;50,6;6,9;4,1;2,7;-;100;
2009;4,4;31,4;50,3;6,9;4,2;2,7;-;100;
2010;4,5;31,8;50;6,8;4,3;2,6;-;100;
2011;4,5;31,9;49,9;6,7;4,4;2,5;-;100;
2012;4,7;32;49,7;6,7;4,3;2,4;-;100;
2013;5,1;31,9;49,4;6,8;4,3;2,4;-;100;
2014;5,6;32;48,9;6,8;4,4;2,3;0,1;100;
2015;6,2;32,2;48;6,8;4,4;2,2;0,1;100;
2016;6,8;32,5;47,1;6,8;4,5;2,2;0,1;100;
2017;7,5;32,9;46,2;6,6;4,6;2,1;0,1;100;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
